Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV34,OUT046,0.09575763
FDS59,OUT049,0.09480391
NCW17,OUT017,0.14640917
NCK54,OUT046,0.1317729
FDG17,OUT019,0.056075394
FDG35,OUT017,0.20767528
FDD08,OUT010,0.013878239
NCO07,OUT017,0.24970068
FDJ10,OUT010,0.01605646
FDW36,OUT017,0.11728909
FDW21,OUT010,0.019223101
FDY19,OUT017,0.13691601
DRE03,OUT013,0.038594466
NCC55,OUT049,0.044562876
FDH52,OUT010,0.013878239
FDO09,OUT017,0.312553
FDU43,OUT045,0.25489783
FDX09,OUT010,0.0
FDH40,OUT019,0.013878239
FDW58,OUT017,0.11560951
FDC47,OUT017,0.26813632
NCR41,OUT035,0.115970895
DRG49,OUT035,0.29405853
FDC52,OUT027,0.2910784
FDY13,OUT046,0.106929995
FDY35,OUT013,0.047569625
FDI35,OUT017,0.217133
NCU18,OUT049,0.16953847
FDY33,OUT018,0.15875043
FDC15,OUT027,0.30457953
FDU01,OUT049,0.1988177
NCU42,OUT046,0.19224273
NCV29,OUT018,0.18816186
NCY30,OUT017,0.22035453
FDQ46,OUT049,0.13475221
FDG58,OUT027,0.26955467
FDK33,OUT017,0.2489213
NCD07,OUT045,0.11552719
NCX29,OUT027,0.26548988
NCT42,OUT013,0.17761311
DRN59,OUT035,0.055374235
FDI44,OUT035,0.083403856
FDA45,OUT049,0.18904632
FDP31,OUT045,0.038219687
FDY01,OUT046,0.13435599
FDT09,OUT018,0.12853491
DRH03,OUT027,0.1665078
FDA36,OUT018,0.20219769
NCF31,OUT017,0.16362375
FDG14,OUT049,0.15887785
FDG28,OUT027,0.41591722
FDU14,OUT049,0.28718692
FDY47,OUT019,0.013878239
FDI56,OUT049,0.10051874
DRD01,OUT013,0.04678358
FDM22,OUT046,0.07544434
FDH33,OUT013,0.0255393
DRZ24,OUT013,0.12820922
NCQ38,OUT046,0.14398888
FDO16,OUT027,0.1385067
FDU07,OUT027,0.29019395
NCB07,OUT013,0.21815637
FDU48,OUT045,0.1562864
NCM43,OUT045,0.18059471
FDR31,OUT010,0.0
DRK49,OUT018,0.028341113
NCI30,OUT010,0.011106174
DRD60,OUT017,0.20995648
NCG19,OUT046,0.23057885
FDH12,OUT035,0.123197064
FDM32,OUT035,0.11082535
FDM27,OUT035,0.167374
NCU53,OUT027,0.30607697
NCQ18,OUT046,0.10047153
FDS10,OUT013,0.20563363
FDB33,OUT027,0.30408627
FDI12,OUT013,0.06452278
NCW42,OUT013,0.25212204
NCC06,OUT018,0.12168285
FDW02,OUT017,0.12815927
NCD43,OUT017,0.11112628
FDM57,OUT018,0.05671045
FDA58,OUT017,0.2685826
FDK56,OUT046,0.19812454
FDP52,OUT045,0.23379676
FDW20,OUT018,0.11620324
FDS52,OUT049,0.1152529
NCT29,OUT018,0.11095391
NCL54,OUT013,0.20072787
FDC05,OUT045,0.23196109
FDF34,OUT035,0.24950503
FDP03,OUT027,0.2364055
FDD32,OUT010,0.013878239
FDZ10,OUT045,0.15232354
FDZ40,OUT035,0.07170886
FDD51,OUT018,0.029015657
NCY30,OUT019,0.02109171
FDP58,OUT017,0.2467797
FDV49,OUT017,0.30874494
FDY24,OUT019,0.013878239
NCO55,OUT017,0.12553866
FDR13,OUT017,0.12435237
FDS51,OUT017,0.06801965
FDP26,OUT045,0.100217186
NCB54,OUT027,0.2473625
FDF32,OUT017,0.2322908
FDN31,OUT018,0.20865613
DRM48,OUT017,0.039786823
FDN20,OUT049,0.19562596
DRL01,OUT046,0.25737393
FDV56,OUT049,0.12228329
DRH13,OUT027,0.21233489
FDA03,OUT017,0.17850627
FDF47,OUT027,0.39119676
FDX32,OUT046,0.16954266
FDX57,OUT049,0.0914198
NCA30,OUT045,0.22119568
FDO49,OUT013,0.045222126
FDL04,OUT019,0.013878239
DRM48,OUT035,0.03672231
FDR16,OUT013,0.24630624
NCC19,OUT018,0.20503804
NCE42,OUT045,0.24475092
FDY24,OUT017,0.061691068
FDH19,OUT049,0.20429681
FDJ46,OUT013,0.19772398
FDN45,OUT010,0.020123743
FDY08,OUT035,0.14435248
FDZ37,OUT035,0.10140975
NCT30,OUT045,0.047011733
DRY23,OUT018,0.035560273
NCZ30,OUT018,0.1180678
FDC44,OUT018,0.10873716
FDB45,OUT035,0.12785237
FDY04,OUT013,0.19327123
FDM27,OUT046,0.19251174
FDZ43,OUT017,0.29025033
FDT39,OUT019,0.02537604
NCC06,OUT019,0.013878239
FDL15,OUT027,0.2995023
FDL57,OUT017,0.2961339
FDU08,OUT046,0.110555686
FDK40,OUT017,0.30321693
FDQ12,OUT010,0.0
FDS48,OUT017,0.17602196
FDP09,OUT045,0.2246312
FDW21,OUT049,0.09746262
FDY25,OUT035,0.23144114
DRE13,OUT017,0.08441655
FDV43,OUT019,0.013878239
FDD22,OUT045,0.11856272
FDM46,OUT019,0.013878239
NCO30,OUT010,0.0
FDM25,OUT046,0.22423224
NCN41,OUT049,0.13940452
FDU24,OUT045,0.09953568
FDZ50,OUT046,0.2031928
FDP45,OUT013,0.3174875
NCM54,OUT045,0.14525123
FDW10,OUT019,0.013878239
FDP20,OUT017,0.15132925
FDK32,OUT046,0.1766499
FDN52,OUT049,0.07694097
FDM58,OUT045,0.12725607
FDZ46,OUT027,0.21895134
NCA18,OUT018,0.11087099
FDD35,OUT046,0.16544454
NCK31,OUT035,0.071028076
FDI40,OUT027,0.18280096
FDT50,OUT019,0.013878239
NCT06,OUT046,0.17568208
FDT31,OUT035,0.23337254
FDT45,OUT049,0.059971325
FDT13,OUT045,0.20414515
FDO50,OUT045,0.09857368
NCU18,OUT010,0.0
NCR54,OUT049,0.23345354
NCO18,OUT018,0.19390836
FDU09,OUT045,0.052440308
FDT13,OUT018,0.2016678
FDE09,OUT046,0.12978724
NCK53,OUT019,0.013878239
FDG45,OUT049,0.27709308
DRH15,OUT035,0.06318377
FDO21,OUT019,0.050572753
FDD14,OUT027,0.31808338
FDC09,OUT046,0.12583573
FDH45,OUT027,0.09751304
FDV32,OUT046,0.06883804
FDG12,OUT035,0.14678967
FDS32,OUT013,0.15961292
NCL55,OUT018,0.2914702
DRE01,OUT035,0.2974524
DRE15,OUT049,0.077358566
NCL42,OUT045,0.26525182
FDP31,OUT013,0.046878792
FDN33,OUT018,0.07721911
FDZ59,OUT046,0.19129452
FDE45,OUT010,0.0
FDJ07,OUT013,0.13497935
FDQ45,OUT018,0.19947673
FDM33,OUT027,0.40098447
FDO15,OUT010,0.014038041
FDM46,OUT013,0.06040176
FDR03,OUT045,0.23732068
FDY49,OUT018,0.19413076
FDQ60,OUT045,0.12335999
FDW10,OUT049,0.19821957
FDO51,OUT049,0.04092063
FDJ40,OUT018,0.0931194
FDS20,OUT018,0.19804782
FDU45,OUT013,0.116207026
FDV02,OUT035,0.20755012
FDN09,OUT046,0.24960032
NCM55,OUT027,0.33870763
FDN23,OUT018,0.13545841
FDY31,OUT010,0.0
FDW03,OUT010,0.0012576478
FDD14,OUT046,0.20349449
FDV23,OUT017,0.1517976
DRI03,OUT045,0.17858483
FDN13,OUT035,0.10213192
FDF45,OUT027,0.13773338
FDU46,OUT035,0.10318771
FDB57,OUT049,0.2525702
FDV12,OUT049,0.108503506
FDQ58,OUT013,0.17431432
NCA18,OUT017,0.12650098
FDH52,OUT049,0.05707594
FDM24,OUT018,0.14625281
NCP43,OUT027,0.33537832
NCO18,OUT019,0.02023389
FDM32,OUT017,0.09820237
NCL07,OUT017,0.040248994
FDK03,OUT013,0.32410884
FDP59,OUT017,0.098498955
FDQ24,OUT049,0.29699787
FDQ16,OUT018,0.10042274
FDU44,OUT013,0.17842631
FDH28,OUT010,0.013878239
FDV28,OUT019,0.013878239
FDM22,OUT045,0.04132115
FDR56,OUT046,0.22332485
FDV39,OUT049,0.23574616
FDU37,OUT019,0.013878239
FDQ11,OUT010,0.0231309
FDX02,OUT045,0.25946757
NCS42,OUT018,0.08294723
FDY57,OUT027,0.17519169
FDB21,OUT049,0.3703802
FDE28,OUT017,0.27316758
FDQ55,OUT017,0.12822819
FDA48,OUT049,0.32480472
FDZ19,OUT045,0.17753221
NCC43,OUT045,0.27948546
NCV18,OUT046,0.0882681
NCA42,OUT018,0.1640786
FDY45,OUT046,0.26298663
NCC30,OUT045,0.21057671
FDM57,OUT013,0.070226446
FDL09,OUT010,0.026632585
FDB09,OUT027,0.24935713
FDT44,OUT035,0.13298212
NCT06,OUT027,0.3134374
FDX26,OUT049,0.21130656
FDK32,OUT013,0.17334
DRA12,OUT046,0.15175161
FDO46,OUT010,0.0
FDE52,OUT013,0.073832646
NCH42,OUT045,0.25323927
FDV08,OUT035,0.055462256
FDB47,OUT018,0.22357117
FDC28,OUT010,0.0
FDD22,OUT046,0.13142893
FDS07,OUT027,0.23194537
DRI13,OUT045,0.25281522
FDG32,OUT018,0.25108454
FDU14,OUT017,0.3008145
FDD28,OUT019,0.013878239
NCP41,OUT017,0.12071123
FDS08,OUT049,0.22130051
FDX47,OUT045,0.18379405
FDC53,OUT019,0.013878239
FDQ19,OUT035,0.30937827
FDL14,OUT045,0.1829248
FDM33,OUT019,0.027828768
FDA51,OUT045,0.11329019
FDZ27,OUT018,0.026621664
FDT04,OUT046,0.0451247
DRC13,OUT049,0.13327596
FDR16,OUT027,0.35883904
FDQ03,OUT027,0.41305506
FDE38,OUT035,0.20074137
DRH23,OUT027,0.113632
FDT11,OUT019,0.03301426
FDD09,OUT035,0.22299577
FDR40,OUT045,0.08171841
FDX07,OUT017,0.23274869
FDR07,OUT035,0.107517906
FDA51,OUT017,0.12396617
FDT59,OUT019,0.041109707
FDF20,OUT017,0.22372377
FDR13,OUT045,0.1256214
FDY26,OUT049,0.242146
FDW04,OUT017,0.14620078
FDK52,OUT017,0.26170292
FDN60,OUT049,0.18928805
FDM09,OUT019,0.018132165
FDP46,OUT049,0.10242292
FDB50,OUT019,0.013878239
NCQ29,OUT049,0.3196856
FDP16,OUT027,0.44064015
FDX33,OUT018,0.16072531
FDP07,OUT010,0.0
FDN22,OUT046,0.29255155
FDF39,OUT049,0.23432434
FDS21,OUT017,0.04771266
NCM42,OUT013,0.11107806
FDK50,OUT019,0.013878239
DRF13,OUT027,0.29051048
FDH35,OUT018,0.18307684
FDP60,OUT018,0.081354134
DRJ49,OUT027,0.2625273
NCT42,OUT019,0.013878239
FDE38,OUT049,0.19533265
FDI04,OUT049,0.2272695
NCH54,OUT045,0.17479353
FDT56,OUT049,0.041155837
DRD15,OUT018,0.25301108
FDV58,OUT013,0.22205661
FDP21,OUT049,0.21513529
FDH05,OUT013,0.28097934
FDR10,OUT027,0.30498588
NCP06,OUT045,0.17189457
FDF33,OUT049,0.116294414
DRK37,OUT013,0.24547619
DRH49,OUT045,0.09441207
FDT58,OUT013,0.18698533
FDD41,OUT018,0.087407656
FDP40,OUT018,0.093517244
FDM51,OUT027,0.19200027
FDO45,OUT010,0.0149186365
FDW33,OUT010,0.0
FDY24,OUT045,0.048371136
FDB10,OUT010,0.015534948
FDM40,OUT035,0.15899825
NCI06,OUT017,0.2027035
FDW12,OUT019,0.01746727
FDX48,OUT027,0.27876204
NCW05,OUT027,0.19864988
FDX27,OUT017,0.095537014
DRM37,OUT045,0.22517467
FDA38,OUT045,0.26031634
FDR36,OUT046,0.031315774
FDZ45,OUT046,0.21237957
FDG05,OUT017,0.18773378
FDK28,OUT013,0.34117764
FDV47,OUT045,0.08936047
FDN21,OUT045,0.18615039
FDP20,OUT027,0.2534172
FDI35,OUT045,0.19821402
DRY23,OUT013,0.03609603
FDA56,OUT017,0.12811232
FDB09,OUT013,0.12675418
NCO26,OUT027,0.23479855
FDQ49,OUT018,0.18088967
FDI52,OUT027,0.23139343
FDZ44,OUT027,0.23719509
FDZ09,OUT018,0.16926046
FDY03,OUT049,0.11935261
NCG42,OUT017,0.15343961
DRI13,OUT027,0.40651166
FDQ32,OUT013,0.13644253
FDW16,OUT035,0.095495015
FDU27,OUT046,0.03571124
FDR28,OUT010,0.037982516
FDQ49,OUT010,0.03723181
FDS37,OUT046,0.16020367
FDW26,OUT018,0.25492728
FDX12,OUT018,0.2853456
NCP06,OUT013,0.1666276
FDW45,OUT010,0.017726094
NCN30,OUT049,0.109700345
FDN24,OUT049,0.060693815
NCL41,OUT027,0.09364033
FDR02,OUT019,0.013878239
FDD09,OUT010,0.0
FDS33,OUT010,0.017303139
FDU22,OUT045,0.12861373
FDI53,OUT013,0.16842675
DRH01,OUT049,0.20699157
FDX32,OUT013,0.14992104
NCP30,OUT018,0.03384521
FDB60,OUT045,0.2169678
FDB14,OUT049,0.05976454
NCP02,OUT035,0.06858565
FDJ10,OUT017,0.1569326
FDG34,OUT046,0.14888029
NCB18,OUT017,0.09372657
FDM16,OUT049,0.07145686
FDW25,OUT018,0.072020285
FDB35,OUT010,0.016445175
DRN11,OUT013,0.13542052
FDF41,OUT019,0.033566304
FDH16,OUT045,0.09422244
NCQ50,OUT018,0.2314333
DRH23,OUT018,0.051797643
DRJ37,OUT013,0.17767629
DRJ24,OUT027,0.35341874
FDY16,OUT035,0.21658908
FDQ27,OUT045,0.10242211
FDZ33,OUT045,0.156895
FDF29,OUT045,0.15513282
FDA08,OUT049,0.19428343
FDG31,OUT046,0.073035456
FDE34,OUT019,0.023482153
NCR30,OUT027,0.13204533
FDV33,OUT035,0.34479704
DRZ24,OUT018,0.114245936
NCL54,OUT035,0.2101939
FDR12,OUT049,0.20634146
NCC54,OUT046,0.26827246
DRN59,OUT013,0.037424862
FDX50,OUT019,0.013878239
FDV31,OUT027,0.3388066
NCA29,OUT027,0.3277433
FDW60,OUT049,0.20071982
FDX08,OUT017,0.20831479
DRD49,OUT013,0.3000682
FDD33,OUT046,0.240798
FDW35,OUT013,0.032958508
FDJ36,OUT017,0.110910155
FDV51,OUT035,0.20879415
FDW36,OUT046,0.12421679
FDH35,OUT046,0.20125641
NCS30,OUT027,0.2570532
FDN49,OUT017,0.04073429
FDL08,OUT018,0.254667
FDI09,OUT013,0.2940057
FDP19,OUT018,0.13293721
FDU21,OUT010,0.013878239
NCP41,OUT045,0.120261185
FDY10,OUT013,0.11669242
FDP12,OUT018,0.037761994
NCN26,OUT049,0.13621554
FDK44,OUT013,0.18973167
FDC28,OUT049,0.12808372
FDJ41,OUT027,0.4644096
NCT29,OUT035,0.14750713
NCH42,OUT019,0.037143514
FDU60,OUT018,0.18362927
FDS02,OUT045,0.21701077
FDC51,OUT046,0.14859615
FDU03,OUT013,0.21038485
FDX39,OUT045,0.25075305
NCY05,OUT010,0.013878239
NCL06,OUT027,0.46798998
FDD32,OUT035,0.0927114
NCN41,OUT045,0.14124627
NCX53,OUT049,0.1539539
FDU57,OUT019,0.013878239
FDQ23,OUT046,0.14738292
FDQ52,OUT045,0.27068007
FDC14,OUT045,0.04362584
FDY09,OUT035,0.22447705
FDQ28,OUT045,0.19043598
FDV25,OUT046,0.24470901
FDJ07,OUT035,0.12805615
DRB25,OUT049,0.117510185
FDK52,OUT019,0.030774666
FDY52,OUT027,0.094699904
FDB28,OUT046,0.22000647
FDT36,OUT035,0.04275743
FDV25,OUT017,0.2511095
NCN07,OUT027,0.2555772
FDC57,OUT017,0.24613403
FDQ03,OUT018,0.27890277
FDU23,OUT017,0.19798642
NCX41,OUT035,0.2718435
NCD06,OUT035,0.053417496
FDW08,OUT045,0.11262902
NCU29,OUT017,0.16147178
NCE06,OUT013,0.18903415
FDV52,OUT010,0.015376399
FDB02,OUT017,0.21294339
NCR18,OUT045,0.037297737
FDK16,OUT049,0.10772772
NCQ29,OUT010,0.03655202
FDZ01,OUT019,0.013878239
FDW27,OUT035,0.17125472
FDD17,OUT018,0.24658193
FDW39,OUT013,0.21290712
DRH59,OUT045,0.08035008
FDS52,OUT013,0.09983164
FDU40,OUT027,0.35918733
NCF54,OUT013,0.19713402
FDH46,OUT045,0.10817178
NCP14,OUT049,0.12257289
FDH50,OUT049,0.21137033
DRF15,OUT010,0.0
FDV27,OUT027,0.16925643
NCJ06,OUT049,0.13395813
FDN02,OUT018,0.22632293
FDQ51,OUT049,0.04162487
FDQ07,OUT017,0.2744084
FDS45,OUT049,0.10426088
NCJ06,OUT045,0.14488475
FDD36,OUT035,0.14595722
FDY25,OUT045,0.21149148
FDU52,OUT046,0.1801824
DRK47,OUT017,0.25964433
NCL30,OUT017,0.1506895
FDN22,OUT035,0.31762955
NCF30,OUT027,0.24452059
FDK03,OUT035,0.32581297
FDT45,OUT017,0.057617
NCC54,OUT027,0.4290897
FDP08,OUT018,0.2165992
FDU44,OUT046,0.19610228
DRG39,OUT035,0.06605206
FDU32,OUT049,0.1361234
FDY27,OUT049,0.22498849
NCP54,OUT013,0.12986939
NCZ41,OUT049,0.13156475
DRL49,OUT013,0.15980473
FDI05,OUT018,0.0539601
FDY56,OUT045,0.25448403
DRC13,OUT013,0.1306417
NCV29,OUT017,0.20936269
FDR24,OUT049,0.0805715
FDZ34,OUT018,0.20535165
FDP37,OUT035,0.13666864
FDX08,OUT027,0.34334967
FDS57,OUT045,0.15918833
NCG18,OUT049,0.121048175
FDK25,OUT018,0.16930813
FDH53,OUT049,0.070370965
DRI59,OUT018,0.2507286
FDA52,OUT046,0.21120757
FDT20,OUT010,0.013878239
FDE36,OUT019,0.023011101
FDI24,OUT017,0.19223994
FDB28,OUT018,0.20893122
FDV11,OUT017,0.21018845
FDP01,OUT046,0.18600239
FDD34,OUT027,0.30523723
FDJ50,OUT027,0.12528874
FDZ44,OUT013,0.12665409
DRO59,OUT035,0.09470744
DRB48,OUT045,0.036336146
FDR21,OUT018,0.18564242
NCE42,OUT010,0.0
FDO23,OUT046,0.11266599
NCE30,OUT018,0.2419562
FDQ22,OUT035,0.04473856
FDY01,OUT045,0.11860835
FDS08,OUT017,0.18478073
FDG28,OUT018,0.28897035
FDQ51,OUT018,0.037227355
FDB05,OUT017,0.27727836
FDO56,OUT049,0.13071144
FDE02,OUT018,0.07557809
FDN45,OUT017,0.26031387
FDS09,OUT013,0.040633813
NCA54,OUT018,0.19871388
FDP09,OUT010,0.0
FDC53,OUT045,0.10111759
NCM55,OUT017,0.22610423
FDL09,OUT018,0.18405662
FDA11,OUT019,0.013878239
FDA50,OUT045,0.09544376
FDC23,OUT017,0.21821812
FDE22,OUT049,0.19737953
FDD23,OUT046,0.2558041
NCA29,OUT049,0.22624214
FDK38,OUT046,0.18885508
DRC13,OUT046,0.14598924
NCP43,OUT049,0.20093744
FDX28,OUT049,0.119912036
FDF08,OUT049,0.0892172
FDZ33,OUT046,0.16290759
FDD10,OUT049,0.19368204
FDO58,OUT017,0.19978923
FDI50,OUT017,0.27832112
FDO58,OUT045,0.18444765
FDX08,OUT013,0.2189037
NCK17,OUT010,0.013878239
FDF39,OUT035,0.3406059
FDU45,OUT010,0.019984571
NCJ18,OUT018,0.11649656
DRC27,OUT019,0.042337812
DRC25,OUT035,0.08944454
FDU59,OUT035,0.19302675
FDU28,OUT035,0.23944756
NCP30,OUT046,0.036204956
FDB39,OUT018,0.03236521
FDE41,OUT013,0.07231303
DRH11,OUT010,0.013878239
FDA58,OUT045,0.26511145
FDU50,OUT046,0.13028687
FDM34,OUT013,0.13944034
FDM44,OUT027,0.19560972
FDR39,OUT045,0.2128874
FDM25,OUT045,0.20990586
FDQ49,OUT049,0.16684353
DRH25,OUT018,0.030576702
FDM09,OUT027,0.29466105
FDL44,OUT019,0.0174383
NCR42,OUT018,0.029257372
DRL59,OUT046,0.07296634
FDX43,OUT013,0.20541832
DRK47,OUT010,0.0
FDU48,OUT018,0.124163345
FDY12,OUT045,0.04804252
NCN43,OUT018,0.12173851
NCM55,OUT018,0.20287435
FDQ21,OUT027,0.24062791
FDX13,OUT035,0.32926032
NCK30,OUT027,0.45750389
FDG20,OUT049,0.19417335
DRG27,OUT017,0.042862087
FDY14,OUT018,0.2818462
FDP59,OUT035,0.09338528
FDU60,OUT017,0.21071713
NCC18,OUT019,0.013878239
DRJ39,OUT017,0.2642312
FDS07,OUT049,0.1358916
FDM08,OUT027,0.39129475
FDP51,OUT045,0.13880585
FDU16,OUT035,0.07460483
FDH12,OUT013,0.093504675
DRE48,OUT010,0.030063618
NCL42,OUT027,0.4425533
FDR21,OUT045,0.19666529
NCW29,OUT035,0.16403802
